epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.937,0.99263,9.63061,0.6922,0.83263,1.35747,0.95213,0.9293,0.97766,0.7807,0.44729,0.229,0.13807,0.02013,0.86874,7.04581,0.55465,0.50137,1.24765,0.00333042,0.00333042,0.00333042
2,201.872,0.89037,7.27101,0.64037,0.62481,1.25448,0.93401,0.9227,0.97216,0.74902,0.71671,0.45517,0.40592,0.13497,0.91491,5.50971,0.4112,0.55181,1.28507,0.00659778,0.00659778,0.00659778
3,302.714,0.94033,6.42953,0.59028,0.68316,1.28336,0.93005,0.92802,0.96909,0.76989,0.76907,0.50704,0.51867,0.26964,0.89365,4.53312,0.33156,0.52953,1.2554,0.00979914,0.00979914,0.00979914
4,402.276,0.95645,6.00446,0.52204,0.6998,1.28867,0.91768,0.89472,0.95316,0.74774,0.8036,0.5812,0.58783,0.34835,0.90375,4.08847,0.27001,0.60507,1.27566,0.009703,0.009703,0.009703
5,500.766,0.92166,5.57036,0.46817,0.65871,1.25944,0.9325,0.89114,0.9455,0.72697,0.6532,0.49449,0.41743,0.23137,0.97507,4.58778,0.22753,0.60065,1.37625,0.009604,0.009604,0.009604
6,600.165,0.88481,5.20488,0.43702,0.61551,1.23622,0.93961,0.94006,0.97694,0.80752,0.82725,0.63661,0.65662,0.40774,0.78636,3.56253,0.15665,0.46613,1.16702,0.009505,0.009505,0.009505
7,696.628,0.86013,4.96109,0.40922,0.59424,1.21679,0.96053,0.93891,0.98147,0.81667,0.80967,0.67666,0.68561,0.45993,0.77393,3.31412,0.13937,0.43195,1.14712,0.009406,0.009406,0.009406
8,793.045,0.83722,4.77873,0.39438,0.56776,1.20343,0.95712,0.95486,0.98507,0.83082,0.78599,0.66099,0.65893,0.43706,0.73394,3.33784,0.11732,0.40848,1.11337,0.009307,0.009307,0.009307
9,889.624,0.82966,4.70986,0.38074,0.56359,1.19575,0.9513,0.95492,0.98501,0.83372,0.8057,0.67853,0.67485,0.4573,0.72174,3.15886,0.10475,0.39742,1.10231,0.009208,0.009208,0.009208
10,987.361,0.81037,4.53669,0.3734,0.54727,1.18485,0.96174,0.95722,0.98784,0.84912,0.82949,0.69906,0.71884,0.50989,0.68839,3.0075,0.09668,0.38235,1.07599,0.009109,0.009109,0.009109
11,1085.73,0.79602,4.41215,0.36407,0.53567,1.17652,0.95799,0.96107,0.9873,0.84292,0.83905,0.70641,0.73264,0.51999,0.69923,2.87456,0.09843,0.38785,1.08507,0.00901,0.00901,0.00901
12,1182.22,0.7822,4.31573,0.35729,0.52026,1.16537,0.96425,0.95325,0.98711,0.85315,0.83378,0.71171,0.74306,0.53596,0.66947,2.8315,0.09792,0.36804,1.06823,0.008911,0.008911,0.008911
13,1278.72,0.77813,4.22623,0.35512,0.51513,1.16402,0.96446,0.95761,0.98749,0.85246,0.83071,0.72861,0.74102,0.5323,0.66221,2.78497,0.08075,0.36527,1.06143,0.008812,0.008812,0.008812
14,1375.23,0.7717,4.17358,0.34851,0.51189,1.1586,0.96976,0.96363,0.98898,0.85849,0.82001,0.74667,0.73357,0.52747,0.64726,2.63134,0.08764,0.35684,1.04814,0.008713,0.008713,0.008713
15,1471.67,0.76007,4.07143,0.34285,0.49947,1.15538,0.96514,0.96439,0.98832,0.86327,0.8425,0.74488,0.77077,0.57229,0.64704,2.51206,0.07899,0.35711,1.04932,0.008614,0.008614,0.008614
